species	gene_id	gene_name	chromosome	start	end	strand	description	ncbi_gene_id	match_reason	gene_biotype	feature_type	partial	exception	protein_id
Carassius_auratus	LOC113042704	LOC113042704	NC_039245.1	1205607	1224579	+	granulins-like	113042704	description match	protein_coding	gene			XP_026057515.1;XP_026057517.1
Carassius_auratus	LOC113119378	LOC113119378	NC_039261.1	9256881	9258852	+	granulins-like	113119378	description match	protein_coding	gene			XP_026144595.1
Carassius_auratus	LOC113119383	LOC113119383	NC_039261.1	9276770	9278146	+	granulins-like	113119383	description match	protein_coding	gene			XP_026144606.1;XP_026144605.1
Carassius_auratus	LOC113042585	LOC113042585	NC_039266.1	20809187	20814846	+	granulins-like	113042585	description match	protein_coding	gene			XP_026057331.1
Carassius_auratus	grna	grna	NC_039270.1	16899971	16932834	-	granulin a	113047016	name match	protein_coding	gene			XP_026064027.1;XP_026064028.1;XP_026064026.1
Carassius_auratus	LOC113062041	LOC113062041	NC_039286.1	897736	899493	-	granulins	113062041	description match	protein_coding	gene			XP_026087334.1
Carassius_auratus	LOC113068251	LOC113068251	NC_039298.1	397736	399205	+	granulins-like	113068251	description match	protein_coding	gene			XP_026096699.1
Carassius_auratus	LOC113068216	LOC113068216	NC_039298.1	489986	491353	+	granulins-like	113068216	description match	protein_coding	gene			XP_026096662.1
Carassius_auratus	LOC113084855	LOC113084855	NW_020526607.1	64744	70192	+	granulins	113084855	description match	protein_coding	gene			XP_026110771.1
Carassius_auratus	grnb	grnb	NW_020527778.1	1399628	1410702	-	granulin b	113092754	name match	protein_coding	gene			XP_026114265.1;XP_026114266.1
Carassius_gibelio	LOC127949015	LOC127949015	NC_068373.1	16132752	16140396	-	progranulin	127949015	description match	protein_coding	gene			XP_052401889.1
Carassius_gibelio	LOC127935583	LOC127935583	NC_068389.1	8253024	8254358	-	progranulin-like	127935583	description match	protein_coding	gene			XP_052389546.1
Carassius_gibelio	LOC127935582	LOC127935582	NC_068389.1	8327255	8328740	-	progranulin	127935582	description match	protein_coding	gene			XP_052389545.1
