# Goldfish Chromosome to Subgenome Lookup Table
# Generated from NCBI assembly alignment: GCF_003368295.1 (C. auratus) vs GCF_023724105.1 (C. gibelio)
# Subgenome assigned based on best-matching Prussian carp chromosome
#
goldfish_chr	goldfish_accession	subgenome	homeolog_number	assigned_label	best_cgib_chr	cgib_accession	aligned_bases	total_aligned_bases	pct_to_best	second_best_cgib_chr	second_best_bases
chr1	NC_039243.1	A	1	A1	A1	NC_068371.1	30638335	33831922	90.6	A12	1126393
chr2	NC_039244.1	A	2	A2	A2	NC_068372.1	28629088	30150027	95.0	A7	257593
chr3	NC_039245.1	A	3	A3	A3	NC_068373.1	27094404	28860931	93.9	A7	277396
chr4	NC_039246.1	B	4	B4	B4	NC_068399.1	26956595	28372207	95.0	B19	241452
chr5	NC_039247.1	A	5	A5	A5	NC_068375.1	30004057	32441718	92.5	B5	847139
chr6	NC_039248.1	B	6	B6	B6	NC_068401.1	27338113	28520446	95.9	A6	238299
chr7	NC_039249.1	B	7	B7	B7	NC_068402.1	34497093	36077257	95.6	A4	104832
chr8	NC_039250.1	B	8	B8	B8	NC_068403.1	27288872	30779281	88.7	A8	1455615
chr9	NC_039251.1	B	9	B9	B9	NC_068404.1	31538139	35765026	88.2	B16	1473828
chr10	NC_039252.1	B	10	B10	B10	NC_068405.1	21149867	21867587	96.7	B3	70034
chr11	NC_039253.1	B	11	B11	B11	NC_068406.1	18090767	18628836	97.1	B24	66501
chr12	NC_039254.1	B	12	B12	B12	NC_068407.1	19931283	21270913	93.7	B8	465488
chr13	NC_039255.1	A	13	A13	A13	NC_068383.1	24259657	26150369	92.8	A15	757622
chr14	NC_039256.1	B	14	B14	B14	NC_068409.1	26690823	33460024	79.8	A14	3001825
chr15	NC_039257.1	B	15	B15	B15	NC_068410.1	23997637	25102182	95.6	A20	149185
chr16	NC_039258.1	B	16	B16	B16	NC_068411.1	27067597	28060795	96.5	B14	155621
chr17	NC_039259.1	B	17	B17	B17	NC_068412.1	25332331	28028705	90.4	A18	1138151
chr18	NC_039260.1	B	18	B18	B18	NC_068413.1	23558291	24781926	95.1	A18	216993
chr19	NC_039261.1	B	19	B19	B19	NC_068414.1	27223457	29295054	92.9	B5	234402
chr20	NC_039262.1	B	20	B20	B20	NC_068415.1	27320124	28143352	97.1	B22	64149
chr21	NC_039263.1	B	21	B21	B21	NC_068416.1	24192790	25963622	93.2	A2	476274
chr22	NC_039264.1	B	22	B22	B22	NC_068417.1	24491001	30088640	81.4	A8	1911391
chr23	NC_039265.1	B	23	B23	B23	NC_068418.1	18172419	19767476	91.9	A7	369168
chr24	NC_039266.1	B	24	B24	B24	NC_068419.1	22159807	22606908	98.0	A4	37998
chr25	NC_039267.1	B	25	B25	B25	NC_068420.1	21233419	22688021	93.6	A8	423892
chr26	NC_039268.1	B	1	B1	B1	NC_068396.1	22716220	24530603	92.6	B20	391001
chr27	NC_039269.1	B	2	B2	B2	NC_068397.1	27829034	30860975	90.2	A23	598340
chr28	NC_039270.1	B	3	B3	B3	NC_068398.1	21764563	25666523	84.8	A3	1439690
chr29	NC_039271.1	A	4	A4	A4	NC_068374.1	21346189	23375940	91.3	B4	374092
chr30	NC_039272.1	B	5	B5	B5	NC_068400.1	26285950	30910543	85.0	B7	1582544
chr31	NC_039273.1	A	6	A6	A6	NC_068376.1	25910623	28518033	90.9	A20	1378723
chr32	NC_039274.1	A	7	A7	A7	NC_068377.1	32994357	35544349	92.8	A4	408161
chr33	NC_039275.1	A	8	A8	A8	NC_068378.1	4549169	4765708	95.5	B25	23246
chr34	NC_039276.1	A	9	A9	A9	NC_068379.1	25964782	26951782	96.3	A4	88019
chr35	NC_039277.1	A	10	A10	A10	NC_068380.1	19088838	19885414	96.0	B21	161790
chr36	NC_039278.1	A	11	A11	A11	NC_068381.1	19545269	20413744	95.7	A10	120931
chr37	NC_039279.1	A	12	A12	A12	NC_068382.1	17813257	18668968	95.4	B12	194313
chr38	NC_039280.1	B	13	B13	B13	NC_068408.1	22909988	24120737	95.0	A19	345208
chr39	NC_039281.1	A	14	A14	A14	NC_068384.1	12680866	12960670	97.8	B22	25420
chr40	NC_039282.1	A	15	A15	A15	NC_068385.1	19550450	20421977	95.7	A5	100776
chr41	NC_039283.1	A	16	A16	A16	NC_068386.1	25350211	26903506	94.2	B16	349318
chr42	NC_039284.1	A	17	A17	A17	NC_068387.1	17583728	18332709	95.9	A25	239907
chr43	NC_039285.1	A	18	A18	A18	NC_068388.1	21305851	22723834	93.8	A15	234745
chr44	NC_039286.1	A	19	A19	A19	NC_068389.1	14112532	14972495	94.3	A4	68662
chr45	NC_039287.1	A	20	A20	A20	NC_068390.1	18521784	20032578	92.5	A4	600598
chr46	NC_039288.1	A	21	A21	A21	NC_068391.1	18103372	19564107	92.5	A12	564150
chr47	NC_039289.1	A	22	A22	A22	NC_068392.1	15156497	15634818	96.9	B22	43431
chr48	NC_039290.1	A	23	A23	A23	NC_068393.1	10867479	11342962	95.8	A4	48677
chr49	NC_039291.1	A	24	A24	A24	NC_068394.1	16253938	17028120	95.5	B18	134697
chr50	NC_039292.1	A	25	A25	A25	NC_068395.1	18076594	20063796	90.1	A14	463483
