# Caspase family gene inventory
# Source: caspase_genes_all_species.tsv
# Config: see examples/caspase_in_carp/caspase_config_as_run_2026-06-30.yaml (identical to config/caspase_example.yaml as of that date)
#
# COLUMN GROUPS:
#   Cols 1-16:  Core identity + structure (incl. NCBI gene_biotype,
#               cds_exons = representative-isoform CDS-exon count,
#               transcript_variants = # coding transcripts)
#   Cols 17-18: Annotation confidence (identity)
#   Cols 19-20: Gene model quality (from NCBI annotation flags)
#   Cols 21-23: Assembly artefact flags
#   Cols 24-28: Curation status (fill during manual review)
#
# CDS_EXONS: coding-exon count of the longest isoform (per isoform, not summed across variants)
# CONFIDENCE (identity): high (named, consistent) / medium (LOC or minor identity issue) / low (known confusion locus)
# MODEL STATUS (NCBI flags): ok / pseudogene / partial / low_quality / flagged (exception)
# CURATION: unreviewed / in_progress / reviewed / flagged
#
species	gene_id	ncbi_annotation_name	ncbi_gene_id	chromosome_accession	chromosome_label	subgenome	homeolog_pair	start	end	strand	gene_length_bp	cds_exons	transcript_variants	description	gene_biotype	annotation_confidence	confidence_reasons	model_status	model_quality_notes	on_unplaced_scaffold	possible_haplotig	assembly_artefact_notes	curation_status	proposed_identity	curation_notes	reviewed_by	review_date
Carassius_gibelio	casp3a	casp3a	127966708	NC_068371.1	A1	A	1	5379220	5383273	-	4054	6	1	caspase 3, apoptosis-related cysteine peptidase a	protein_coding	high	named gene with consistent annotation	ok		no	no		unreviewed				
Carassius_gibelio	LOC127935548	LOC127935548	127935548	NC_068371.1	A1	A	1	31961443	31964397	-	2955	2	1	caspase b	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128029032	LOC128029032	128029032	NC_068371.1	A1	A	1	32020195	32028772	-	8578	7	1	caspase b	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC127950387	LOC127950387	127950387	NC_068373.1	A3	A	3	17859652	17864104	-	4453	8	1	caspase-6-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128015385	LOC128015385	128015385	NC_068376.1	A6	A	6	8292025	8300009	+	7985	9	1	caspase-8-like	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128015387	LOC128015387	128015387	NC_068376.1	A6	A	6	8304208	8307680	-	3473	4	1	caspase-8	protein_coding	medium	LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	casp23	casp23	128017247	NC_068377.1	A7	A	7	31916721	31920736	-	4016	11	1	caspase 23, apoptosis-related cysteine peptidase	protein_coding	high	pair 7: conserved A=casp23/B=caspa divergence (likely subfunctionalization)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128020717	LOC128020717	128020717	NC_068380.1	A10	A	10	809074	811338	+	2265	5	2	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128020716	LOC128020716	128020716	NC_068380.1	A10	A	10	813113	815777	+	2665	5	3	caspase-7-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
Carassius_gibelio	LOC128020855	LOC128020855	128020855	NC_068380.1	A10	A	10	3574905	3586480	-	11576	4	1	caspase-3-like	protein_coding	low	exec caspase confusion locus (casp3/casp7 interchangeable); LOC identifier (automated annotation, no curated gene symbol)	ok		no	no		unreviewed				
