species	gene_id	gene_name	chromosome	start	end	strand	description	ncbi_gene_id	match_reason	gene_biotype	feature_type	partial	exception	protein_id
Carassius_auratus	LOC113115174	LOC113115174	NC_039243.1	2954218	2964218	+	caspase-1-B	113115174	description match	protein_coding	gene			XP_026138383.1
Carassius_auratus	LOC113105596	LOC113105596	NC_039243.1	25295651	25299700	-	caspase-3	113105596	description match	protein_coding	gene			XP_026122541.1
Carassius_auratus	LOC113045385	LOC113045385	NC_039245.1	6990700	6995372	+	caspase-6	113045385	description match	protein_coding	gene			XP_026061548.1
Carassius_auratus	LOC113093418	LOC113093418	NC_039248.1	7335200	7341261	+	caspase-8-like	113093418	description match	protein_coding	gene			XP_026115004.1;XP_026115005.1
Carassius_auratus	casp8l1	casp8l1	NC_039248.1	7342451	7350018	+	caspase 8, apoptosis-related cysteine peptidase, like 1	113093474	name match	protein_coding	gene			XP_026115010.1;XP_026115009.1
Carassius_auratus	LOC113088368	LOC113088368	NC_039248.1	7357876	7361593	-	caspase-8-like	113088368	description match	protein_coding	gene			XP_026111544.1
Carassius_auratus	LOC113105593	LOC113105593	NC_039249.1	4712495	4716314	+	caspase-1-like	113105593	description match	protein_coding	gene			XP_026122530.1;XP_026122531.1
Carassius_auratus	casp10	casp10	NC_039251.1	27515157	27528646	-	caspase 10, apoptosis-related cysteine peptidase	113108941	name match	protein_coding	gene			XP_026128161.1
Carassius_auratus	LOC113110248	LOC113110248	NC_039252.1	20302987	20305447	-	caspase-3	113110248	description match	protein_coding	gene			XP_026130118.1
Carassius_auratus	LOC113110500	LOC113110500	NC_039252.1	20307359	20309474	-	caspase-3-like	113110500	description match	protein_coding	gene			XP_026130449.1
Carassius_auratus	LOC113111581	LOC113111581	NC_039254.1	5033612	5040719	-	caspase-7-like	113111581	description match	protein_coding	gene			XP_026132244.1;XP_026132245.1
Carassius_auratus	LOC113113788	LOC113113788	NC_039256.1	15552274	15557019	+	caspase-7-like	113113788	description match	protein_coding	gene			XP_026136056.1;XP_026136055.1
Carassius_auratus	LOC113113799	LOC113113799	NC_039256.1	15961452	15966054	-	caspase-7	113113799	description match	protein_coding	gene			XP_026136068.1
